iter	RMSE
0	14.71798826
1	14.34736728
2	13.96545696
3	13.62248055
4	13.26853122
5	12.95316436
6	12.6437975
7	12.38699532
8	12.13979118
9	11.84602831
10	11.56296345
11	11.31749247
12	11.11226525
13	10.86795345
14	10.63656449
15	10.39491603
16	10.16703119
17	9.953564928
18	9.75049189
19	9.560774962
20	9.406400138
21	9.240903536
22	9.062197912
23	8.893755489
24	8.726116231
25	8.591545513
26	8.444038352
27	8.310575166
28	8.184397076
29	8.074151867
30	7.980370856
31	7.871652515
32	7.762569883
33	7.660883255
34	7.556356969
35	7.464121302
36	7.372024804
37	7.296137458
38	7.209180869
39	7.124945419
40	7.063159904
41	6.996265616
42	6.919360911
43	6.860547199
44	6.794606056
45	6.738708884
46	6.676766418
47	6.616787951
48	6.557032046
49	6.498197864
50	6.447633529
51	6.399524211
52	6.35375345
53	6.299825955
54	6.256294307
55	6.217813211
56	6.181659456
57	6.145013399
58	6.113248721
59	6.077502356
60	6.047024781
61	6.016880598
62	5.978653695
63	5.939243413
64	5.911388944
65	5.880154577
66	5.850918399
67	5.819050593
68	5.802650291
69	5.770099152
70	5.745031186
71	5.725340982
72	5.70455304
73	5.681932352
74	5.6591158
75	5.638439546
76	5.619777202
77	5.597472057
78	5.581494766
79	5.566470542
80	5.549106427
81	5.532486935
82	5.518740342
83	5.500200697
84	5.480526587
85	5.467112974
86	5.451040579
87	5.437746217
88	5.42518527
89	5.412975985
90	5.398607268
91	5.385856497
92	5.374812712
93	5.367592597
94	5.356680409
95	5.342109361
96	5.33018821
97	5.318287308
98	5.306422803
99	5.297168324
100	5.28800712
101	5.280054475
102	5.269304887
103	5.257394242
104	5.249175242
105	5.242827606
106	5.233255774
107	5.227944788
108	5.221311105
109	5.214638523
110	5.212905147
111	5.205948093
112	5.199260743
113	5.192919733
114	5.187759039
115	5.184022032
116	5.176834662
117	5.172180634
118	5.167940035
119	5.159710017
120	5.154170714
121	5.150249623
122	5.145351531
123	5.137247404
124	5.133404727
125	5.126553864
126	5.119849897
127	5.116117349
128	5.109015492
129	5.105066715
130	5.096977309
131	5.091565906
132	5.086455717
133	5.081523939
134	5.077731225
135	5.069490834
136	5.066341098
137	5.062046422
138	5.053697218
139	5.04968545
140	5.047222516
141	5.042186938
142	5.033577034
143	5.02609879
144	5.021296624
145	5.01529187
146	5.012031908
147	5.006787924
148	5.001717454
149	4.995839168
150	4.992541484
151	4.987193392
152	4.981479737
153	4.978627675
154	4.975369408
155	4.971193179
156	4.967938665
157	4.964174183
158	4.957977502
159	4.954008391
160	4.948879982
161	4.944714072
162	4.943473043
